country,pollutant_name,prev_aqi,aqi_category,count
SPAIN,PM10,Extremely Poor,Very Poor,10
SPAIN,PM10,Very Poor,Extremely Poor,11
SPAIN,PM10,Extremely Poor,Poor,12
SWEDEN,PM10,Good,Fair,8604
SWEDEN,PM10,Fair,Fair,20546
SWEDEN,PM10,Fair,Good,8643
SWEDEN,PM10,Good,Good,7418
SWEDEN,PM10,Good,Moderate,1311
SWEDEN,PM10,Moderate,Fair,4404
SWEDEN,PM10,Moderate,Good,1272
SWEDEN,PM10,Fair,Moderate,4341
SWEDEN,PM10,Moderate,Moderate,2796
SWEDEN,PM10,Good,Poor,124
SWEDEN,PM10,Poor,Fair,378
SWEDEN,PM10,Poor,Good,131
SWEDEN,PM10,Good,Extremely Poor,20
SWEDEN,PM10,Extremely Poor,Good,15
SWEDEN,PM10,Fair,Poor,407
SWEDEN,PM10,Moderate,Extremely Poor,53
SWEDEN,PM10,Extremely Poor,Fair,47
SWEDEN,PM10,Moderate,Very Poor,80
SWEDEN,PM10,Very Poor,Moderate,81
SWEDEN,PM10,Moderate,Poor,332
SWEDEN,PM10,Poor,Moderate,353
SWEDEN,PM10,Fair,Very Poor,88
SWEDEN,PM10,Fair,Extremely Poor,41
SWEDEN,PM10,Extremely Poor,Poor,10
SWEDEN,PM10,Very Poor,Good,37
SWEDEN,PM10,Very Poor,Fair,88
SWEDEN,PM10,Good,Very Poor,40
SWEDEN,PM10,Poor,Poor,65
SWEDEN,PM10,Extremely Poor,Moderate,55
SWEDEN,PM10,Poor,Extremely Poor,11
SWEDEN,PM10,Very Poor,Poor,16
SWEDEN,PM10,Poor,Very Poor,16
SWEDEN,PM10,Very Poor,Very Poor,4
SWEDEN,PM10,Very Poor,Extremely Poor,6
SWEDEN,PM10,Extremely Poor,Very Poor,4
SWEDEN,PM2.5,Moderate,Fair,1188
SWEDEN,PM2.5,Fair,Good,3303
SWEDEN,PM2.5,Good,Fair,3367
SWEDEN,PM2.5,Fair,Fair,6189
SWEDEN,PM2.5,Good,Good,2783
SWEDEN,PM2.5,Fair,Moderate,1249
SWEDEN,PM2.5,Moderate,Moderate,867
SWEDEN,PM2.5,Moderate,Poor,45
SWEDEN,PM2.5,Poor,Fair,44
SWEDEN,PM2.5,Moderate,Good,511
SWEDEN,PM2.5,Good,Moderate,452
SWEDEN,PM2.5,Fair,Poor,47
SWEDEN,PM2.5,Poor,Moderate,41
SWEDEN,PM2.5,Poor,Poor,10
SWEDEN,PM2.5,Poor,Very Poor,1
SWEDEN,PM2.5,Very Poor,Moderate,1
SWEDEN,PM2.5,Poor,Good,13
SWEDEN,PM2.5,Good,Poor,7
BELGIUM,PM2.5,Poor,Poor,582
BELGIUM,PM2.5,Poor,Moderate,341
BELGIUM,PM2.5,Moderate,Moderate,7176
BELGIUM,PM2.5,Moderate,Poor,352
BELGIUM,PM2.5,Moderate,Fair,1279
BELGIUM,PM2.5,Fair,Moderate,1281
BELGIUM,PM2.5,Fair,Fair,3821
BELGIUM,PM2.5,Poor,Very Poor,33
BELGIUM,PM2.5,Very Poor,Very Poor,51
BELGIUM,PM2.5,Very Poor,Poor,26
BELGIUM,PM2.5,Very Poor,Moderate,10
BELGIUM,PM2.5,Very Poor,Extremely Poor,5
BELGIUM,PM2.5,Extremely Poor,Very Poor,6
BELGIUM,PM2.5,Poor,Extremely Poor,3
BELGIUM,PM2.5,Extremely Poor,Moderate,1
BELGIUM,PM2.5,Poor,Fair,7
BELGIUM,PM2.5,Extremely Poor,Extremely Poor,4
BELGIUM,PM2.5,Fair,Good,51
BELGIUM,PM2.5,Good,Fair,50
BELGIUM,PM2.5,Fair,Poor,4
BELGIUM,PM2.5,Moderate,Good,2
BELGIUM,PM2.5,Extremely Poor,Poor,1
BELGIUM,PM2.5,Good,Good,16
BELGIUM,PM2.5,Good,Moderate,3
BELGIUM,PM2.5,Moderate,Very Poor,3
BELGIUM,PM2.5,Fair,Very Poor,1
BELGIUM,PM2.5,Very Poor,Fair,2
CZECH,PM10,Good,Fair,11001
CZECH,PM10,Fair,Moderate,11978
CZECH,PM10,Moderate,Fair,12001
CZECH,PM10,Moderate,Moderate,19705
CZECH,PM10,Fair,Fair,69202
CZECH,PM10,Fair,Good,11034
CZECH,PM10,Good,Moderate,1252
CZECH,PM10,Good,Good,11846
CZECH,PM10,Moderate,Good,1237
CZECH,PM10,Moderate,Very Poor,104
CZECH,PM10,Very Poor,Moderate,106
CZECH,PM10,Moderate,Poor,993
CZECH,PM10,Poor,Moderate,1004
CZECH,PM10,Very Poor,Fair,33
CZECH,PM10,Fair,Poor,243
CZECH,PM10,Poor,Fair,252
CZECH,PM10,Moderate,Extremely Poor,42
CZECH,PM10,Extremely Poor,Moderate,37
CZECH,PM10,Fair,Very Poor,34
CZECH,PM10,Very Poor,Very Poor,36
CZECH,PM10,Very Poor,Poor,92
CZECH,PM10,Poor,Extremely Poor,15
CZECH,PM10,Poor,Poor,495
CZECH,PM10,Extremely Poor,Extremely Poor,5
CZECH,PM10,Extremely Poor,Poor,14
CZECH,PM10,Poor,Very Poor,87
CZECH,PM10,Good,Poor,53
CZECH,PM10,Very Poor,Extremely Poor,3
CZECH,PM10,Good,Very Poor,9
CZECH,PM10,Extremely Poor,Very Poor,5
CZECH,PM10,Poor,Good,37
CZECH,PM10,Fair,Extremely Poor,7
CZECH,PM10,Extremely Poor,Fair,10
CZECH,PM10,Good,Extremely Poor,2
CZECH,PM10,Very Poor,Good,5
CZECH,PM10,Extremely Poor,Good,3
GERMANY,PM10,Fair,Moderate,49776
GERMANY,PM10,Moderate,Fair,49787
GERMANY,PM10,Fair,Fair,285998
GERMANY,PM10,Moderate,Moderate,61174
GERMANY,PM10,Moderate,Very Poor,138
GERMANY,PM10,Very Poor,Moderate,146
GERMANY,PM10,Moderate,Good,4058
GERMANY,PM10,Good,Moderate,4052
GERMANY,PM10,Moderate,Poor,2326
GERMANY,PM10,Poor,Good,89
GERMANY,PM10,Good,Good,48796
GERMANY,PM10,Very Poor,Fair,55
GERMANY,PM10,Fair,Poor,467
GERMANY,PM10,Poor,Fair,430
GERMANY,PM10,Fair,Very Poor,50
GERMANY,PM10,Very Poor,Extremely Poor,13
GERMANY,PM10,Extremely Poor,Fair,13
GERMANY,PM10,Good,Extremely Poor,5
GERMANY,PM10,Extremely Poor,Moderate,29
GERMANY,PM10,Poor,Very Poor,102
