country,pollutant_name,month_num,avg_concentration,n_measurements
POLAND,PM10,11,30.8030601300912290783708,55684
POLAND,PM10,12,29.4268667235984120426090,55669
POLAND,PM2.5,1,24.6471246102907596285584,19707
POLAND,PM2.5,2,25.7575035666053457418028,18482
POLAND,PM2.5,3,25.3844630176783111570831,21269
POLAND,PM2.5,4,17.7050561246788433689915,21407
POLAND,PM2.5,5,12.8399289594521291022512,22122
POLAND,PM2.5,6,11.7435838645103239249858,21116
POLAND,PM2.5,7,11.3112588854109463664653,21852
POLAND,PM2.5,8,12.1945661061606658223268,22108
POLAND,PM2.5,9,13.6221088041831833232290,21443
POLAND,PM2.5,10,19.4942732159518780420608,21778
POLAND,PM2.5,11,23.2188960092412451361868,20560
POLAND,PM2.5,12,22.7674471028397859312473,20741
SPAIN,PM10,1,17.9728016310410322891857,33169
SPAIN,PM10,2,20.1450808406327582914253,31418
SPAIN,PM10,3,19.3796628063548814947235,34682
SPAIN,PM10,4,17.6872748382906397960422,32948
SPAIN,PM10,5,17.4720647774330690566471,34812
SPAIN,PM10,6,19.5238029118602042623531,33878
SPAIN,PM10,7,21.6831012226935618849739,34653
SPAIN,PM10,8,20.6790771266014019821126,33096
SPAIN,PM10,9,18.5444436027651424467321,33416
SPAIN,PM10,10,19.7375472252283203069083,34929
SPAIN,PM10,11,17.6037022480096007493268,34164
SPAIN,PM10,12,18.4189319049051434017333,33577
SPAIN,PM2.5,1,11.3356974327703431901576,18532
SPAIN,PM2.5,2,11.6857049136009854975083,17859
SPAIN,PM2.5,3,10.8482687314317560036478,19738
SPAIN,PM2.5,4,9.7370313658404000869754,18396
SPAIN,PM2.5,5,9.5198523595415242308466,19892
SPAIN,PM2.5,6,10.6754970620217075976592,19993
SPAIN,PM2.5,7,11.8019834121965544244323,20432
SPAIN,PM2.5,8,11.1281480000000000000000,19752
SPAIN,PM2.5,9,9.7933204408884766027623,19404
SPAIN,PM2.5,10,10.1306298007235453723244,19902
SPAIN,PM2.5,11,9.8333196812503294502135,18971
SPAIN,PM2.5,12,11.2469071378052648271487,18918
SWEDEN,PM10,1,11.1234020064369556985990,5282
SWEDEN,PM10,2,14.3640319665195586760281,4985
SWEDEN,PM10,3,19.8637364336000000000000,5000
SWEDEN,PM10,4,20.1972741877356618376662,5039
SWEDEN,PM10,5,17.3704322586107369636329,5197
SWEDEN,PM10,6,14.4601847420480197003899,4873
SWEDEN,PM10,7,11.9896327806931662424124,5107
SWEDEN,PM10,8,12.2577709885894156993901,5083
SWEDEN,PM10,9,12.4731079358466986044574,4801
SWEDEN,PM10,10,12.4266834191191394357621,4927
SWEDEN,PM10,11,12.0770400614927905004241,4716
SWEDEN,PM10,12,11.1084873229250604351330,4964
SWEDEN,PM2.5,1,4.1374792966537966537967,1554
SWEDEN,PM2.5,2,4.3895453210238907849829,1465
SWEDEN,PM2.5,3,4.4851800601208459214502,1655
SWEDEN,PM2.5,4,4.3225804244613434727503,1578
SWEDEN,PM2.5,5,4.8822335995815899581590,1673
SWEDEN,PM2.5,6,4.4882619885869565217391,1656
SWEDEN,PM2.5,7,3.8943290242232451093211,1738
SWEDEN,PM2.5,8,3.9341241123634272570443,1739
SWEDEN,PM2.5,9,3.8025436695243687610100,1703
SWEDEN,PM2.5,10,3.5912663166388557806913,1678
SWEDEN,PM2.5,11,3.6952447271484375000000,1536
